Sorterings ID	Data type	Navn DE/ENG	Navn DK	UUID	Global Opvarmning, modul A1-A3	Global Opvarmning, modul C3	Global Opvarmning, modul C4	Global Opvarmning, modul D	Deklareret faktor (FU)	Deklareret enhed (FU)	Masse faktor	Masse enhed	Url (link)	Kommentar	RVT2024
#G0463	Generisk data	Kunststoffteil aus laminiertem polyesterharz (gfk, 30% glasfaseranteil)	Glasfiber-forstærket plast, polyester (30% fiberandel)	7d47b8da-1681-5b4c-86b1-fe8d9875e63f	3,322874008	1,595910041	0	-0,466312743	1	kg	1400	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d03450fd-9438-43f7-9ee8-45faa63b1333?version=20.23.050		
#G1198	Generisk data	VELUX modular skylight (double glazing configuration)	Glastag, aluminium (komplet vindue med 2-lags rude)	f794010b-144a-5d09-9cd5-c40c666b348e	181,79	3,38	1,21	-24,8	1	M2	57,8	kg/m²	https://oekobaudat.de/OEKOBAU.DAT/resource/datastocks/c391de0f-2cfd-47ea-8883-c661d294e2ba/processes/f54c9732-257c-4de7-a633-091187f219ac?format=html&lang=en&version=00.02.000		
#G0856	Generisk data	Voranstrich (silikonharz)	Grunder til silikonespuds	883c1a29-7414-5f44-853e-ed0238c4a5ff	0,711521169	0	0,017601035	0	1	kg	1550	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8ad88978-affe-46c4-9e69-73a886779876?version=20.23.050		
#G0561	Generisk data	Voranstrich (silikat-dispersion)	Grunder, silikat dispersion	c2d1e0fe-c3db-5a81-9776-d74f87109e95	0,586899503	0	0,017601035	0	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/d6dc8844-4d8a-4abe-8ce9-db39c965f5bf?version=20.23.050		113
#G0193	Generisk data	Schotter 16/32 (getrocknet)	Grus 16/32 (tørret)	26f64a66-2a3d-56a1-afde-3c968c0888b5	0,027318428	0,006765925	0	-0,00157462	1	kg	1400	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2f04b410-9ca3-4984-a9f2-8475a6e9b5c1?version=20.23.050		
#G0846	Generisk data	Kies 2/32 (getrocknet)	Grus 2-32 mm	8c46ae35-cf40-599c-9282-9615242f6fc0	0,032837115	0,007391965	0	-0,001443231	1	kg	1850	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6b1052ed-f1f0-4f35-919b-3884df8da950?version=20.23.050		139
#G0158	Generisk data	Kies 2/32 (getrocknet)	Grus 2-32 mm, tørret	1cf0bed4-b3d8-537b-8656-e5d1fecc0544	0,032837115	0,007391965	0	-0,001443231	1	kg	1850	kg/m³	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6b1052ed-f1f0-4f35-919b-3884df8da950?version=20.23.050		
#G0638	Generisk data	Splitt 2/15 (getrocknet)	Grus, 2-15 mm, tørret	30dc885f-9070-5b40-a4d7-efbaeed9e024	0,027318428	0,006765925	0	-0,00157462	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6e54b3c4-5399-4579-bb31-397cc271e341?version=20.23.050		
#G0203	Generisk data	Grauguss bauteil	Grå støbejern	3d8cc01e-560b-5539-aa75-676489462161	1,535695202	0	0	0,120389134	1	kg	1	kg/kg	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/02beebbe-d658-461d-9f3f-a80cc3c92a83?version=20.23.050		
#G0659	Generisk data	Fußbodenheizung pp (100 mm abstand)	Gulvvarme PP (100 mm)	e5265018-9852-5942-ac58-6c35ba0b67b9	5,966295226	6,67457876	0,003344197	-2,131850239	1	M2	1,9	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/979226f9-7902-47c6-8cee-5a94ba63185a?version=20.23.050		
